Built-up,Distance to Highways,Distance to Major Roads,Slope,Distance to CBD,Distance to MIDC,Distance to Stations,Distance to Hospitals,Distance to Airport
0,4781.68,4781.68,2.36199,9921.7,26803.7,8161.98,5462.97,45457.8
0,4285.07,4285.07,3.10963,10525.2,26760.3,9100.49,6440.23,45451.2
0,4657.83,4657.83,2.63503,9453.81,26848.5,7383.23,4709.24,45439.9
0,4402.54,4402.54,1.39176,9278.35,26892.2,7057.15,4431.58,45443.9
0,3949.3,3949.3,9.47393,10639.9,26671.1,9319.58,6681.12,45365.7
0,4560.89,4560.89,0.477454,9496.36,26677.6,7572.43,4875.99,45297.9
0,4184.65,4184.65,0.477454,9089.65,26826.3,6783.58,4199.36,45349.5
0,4679.23,4679.23,2.78189,9996.12,26564.3,8429.36,5748.82,45240.4
0,4500.9,4500.9,4.31545,9507.02,26600.7,7644.76,4945.18,45231.1
0,4562.07,4562.07,2.05278,9745.61,26557.5,8050.96,5356.49,45215.7
0,4476.44,4476.44,1.39176,9621.07,26507.7,7890.17,5193.38,45159
0,4351.24,4351.24,0.754894,10077,26464.9,8612.67,5949.39,45150
0,3995.41,3995.41,0.675206,8909.55,26708.8,6563.08,4002.5,45215
0,4362.5,4362.5,1.39176,9449.05,26433.4,7669.97,4971.05,45074.4
0,3882.07,3882.07,7.23384,10274.8,26370,8962.02,6330.64,45062.9
0,3121.3,3121.3,11.3338,10828.7,26390.9,9740.81,7165.04,45086
0,3866.74,3866.74,1.50953,8782.37,26599.4,6429.25,3872.21,45099.9
0,3818.38,3818.38,4.52023,10156.2,26250,8859.35,6234.01,44942.6
0,3416.97,3416.97,13.9158,10459,26256.2,9291.77,6698.13,44952.3
0,4300.16,4300.16,1.6876,9567.74,26213.5,8002.13,5325.57,44882
1,3776.19,3776.19,3.10963,10022.4,26130,8734.74,6114.19,44822
1,3755.28,3755.28,2.71992,9996.66,26100,8714.88,6096.43,44792
0,3478.97,3478.97,7.66758,10202.3,26102.1,9011.24,6415.3,44797.3
0,4103.43,4103.43,3.64697,9296.71,26113.1,7651,4964.61,44767.3
0,4183.9,4183.9,2.1343,9459.52,26093.6,7914.83,5243.14,44762
1,3734.49,3734.49,1.35022,9970.93,26070,8695.08,6078.76,44762
0,4080.88,4080.88,0.477454,9665.63,26015.6,8277.06,5636.33,44700
0,3998.11,3998.11,4.71598,8752.81,26135.9,6756.33,4064.53,44722.2
0,3955.68,3955.68,5.64122,9103.85,26006.3,7422.38,4732.87,44651.7
0,3521.65,3521.65,3.10963,9962.98,25950.3,8753.88,6157.31,44644
0,3586.47,3586.47,2.1343,8466.43,26151.6,6252.75,3616.59,44680.8
1,3899.65,3899.65,2.78189,8719.27,26027.3,6783.25,4085.4,44623.9
0,3372.97,3372.97,2.71992,9951.91,25861.1,8789.54,6207.9,44555.8
0,3181.98,3181.98,4.22269,10101.8,25865,9001.25,6436.59,44561
0,3413.15,3413.15,2.63503,8328.39,26164.4,5991.67,3420.13,44655.8
0,3456.26,3456.26,1.35022,8359.72,26131.8,6078.83,3474.05,44639.9
0,3892.72,3892.72,1.81752,9164.2,25829.3,7637.22,4972.77,44493.3
0,3390.93,3390.93,0,8295.69,26077.1,6011.76,3408.01,44582.3
0,3737.38,3737.38,2.16079,8875.39,25802.9,7205.06,4518.86,44443.9
0,3684.02,3684.02,2.45639,8843.49,25738.9,7200.31,4518.46,44382.4
0,3226.92,3226.92,3.03572,9818.21,25681.4,8701.29,6137.99,44376.3
0,3568.87,3568.87,19.2317,8354.07,25842.7,6316.05,3628.02,44408.2
0,3684.02,3684.02,12.926,8436.62,25807.8,6483.4,3785.83,44392.6
0,3631.98,3631.98,2.38594,8701.86,25731,6979.76,4288.43,44360.5
0,3228.87,3228.87,3.76924,9776.59,25651.1,8659.2,6096.79,44345.8
0,2568.99,2568.99,13.9158,10322.1,25676.7,9411.11,6909.78,44370.7
0,3301.91,3301.91,0.337615,8184.28,25897.4,5971.81,3332.16,44417.6
0,3339.85,3339.85,2.38594,8207.56,25880.1,6028.81,3376.17,44409.4
0,1702.62,1702.62,5.80822,21510.2,27579.7,22054,8093.61,46838.1
0,3127.06,3127.06,1.21712,7980.06,26136.7,5336.71,3102.21,44475.4
0,3541.14,3541.14,0.477454,8532.51,25661.5,6756.66,4061.1,44278.6
0,2991.74,2991.74,3.43891,9838.22,25564.5,8796.29,6259.01,44260.4
0,3267.25,3267.25,2.90182,7982.54,26260.3,5206.97,3245.13,44498.3
0,3031.34,3031.34,4.22269,7923.64,25999.1,5373.6,3002.4,44390.4
0,3178.44,3178.44,1.39176,8060.79,25783.1,5851.77,3209.3,44300
1,3237.36,3237.36,1.50953,8096.22,25757.1,5938.79,3277.56,44287.7
0,3573.02,3573.02,3.05437,9296.95,25503,8050.96,5458.35,44190
0,3316.05,3316.05,2.5695,9519.27,25500,8377.68,5813.81,44192.6
0,3602,3602,1.39176,9033.64,25484.9,7668.57,5046.51,44160.4
0,3420.13,3420.13,4.49515,8441.1,25536.7,6703.17,4012.04,44156.5
0,3560.41,3560.41,2.5695,8868.29,25466.9,7427.65,4788.74,44132.6
0,3083.59,3083.59,0.754894,7966.79,25698.5,5758.28,3114.51,44212.4
0,3485.43,3485.43,2.05278,9219.82,25413,7993.58,5409.41,44100
0,2630.44,2630.44,10.1604,9930.41,25423.9,9003.25,6506.96,44119.8
0,1464.79,1464.79,1.81752,10948.1,25523.1,10329.8,7097.77,44193.9
0,3160.84,3159.13,3.01696,7848.37,26150.2,5047.23,3140.84,44361.8
0,3394.11,3394.11,17.3439,8234.66,25520.1,6372.72,3673.25,44114.5
0,3363.35,3363.35,5.96102,8342.86,25487.6,6579.86,3886.71,44100.9
0,3169.37,3169.37,1.72101,9468.79,25380.2,8376.02,5830.89,44073.7
0,1447.79,1447.79,2.16079,20598.6,27654.5,21129.9,8788,46354.4
0,3193.56,3193.56,3.01696,8003.71,25575.7,5934.01,3249.02,44122.7
0,2876.56,2876.56,2.05278,7740,25883.2,5122.54,2851.1,44229.8
0,2869.04,2869.04,1.06752,7788.74,25706.3,5416.39,2865.75,44169.5
0,3092.33,3092.33,2.88218,7933.17,25570.4,5813.81,3139.55,44104.1
0,1764.65,1764.65,3.18181,10594.8,25397.3,9920.52,6897.72,44078.7
0,1391.69,1391.69,7.37131,21186.1,27392.4,21757.6,8172.45,46505.1
0,1351.33,1351.33,6.42315,20647,27540.4,21196.1,8667.66,46296.6
0,3020.63,3020.63,2.38594,7719.51,26012.1,4933.15,3000,44234.4
0,2841.78,2841.78,2.1343,7680.53,25856.1,5030.79,2818.24,44180.3
0,3368.83,3059.41,0,7852.1,26237.2,4930.42,3354.1,44300.8
0,3126.05,3126.05,2.71992,7896.16,25407.4,5891.39,3195.95,43964
0,3180,3180,1.90915,8228.21,25295,6542.48,3861.04,43915.6
0,3260.49,3260.49,2.38594,8532.93,25241.1,7066.58,4428.33,43896.4
0,3218.96,3218.96,1.6876,9202.57,25200.2,8100,5559.64,43891.5
0,2708.15,2708.15,1.39176,9582.03,25205.8,8637.08,6144.95,43901.9
0,2855.68,2855.68,1.21712,7731.04,25461.2,5548.13,2891.54,43973
0,2927.27,2927.27,1.06752,7757.65,25392.2,5660.39,2978.93,43924.5
0,3139.55,3139.55,2.45639,7879.21,25329.2,5928.78,3229.43,43895.7
0,3137.4,3137.4,7.06204,8055.94,25266,6280.33,3588.11,43868.2
0,3166.39,3166.39,1.72101,9135.97,25140.3,8040.06,5504.41,43831.2
0,2312.34,2312.34,9.39236,9829.98,25160.7,9005.8,6549.69,43855.7
0,2720.59,2720.59,3.10963,9456.09,25114,8512.07,6024.7,43809.9
0,2986.17,2850.16,1.06752,7595.39,25941.5,4740.38,2979.53,44093.4
0,1159.18,1159.18,0.675206,20428.6,27390.1,21001.9,8714.78,46050.5
0,1154.12,1154.12,6.62914,21097.5,27163.6,21703.9,8063.36,46277.9
0,1682.41,1682.41,6.42315,10294.7,25116.8,9656.55,6599.8,43801
0,2817.61,2800.3,1.96786,7490.69,25801,4687.78,2799.02,44003.2
0,2754.94,2754.94,1.06752,9312.38,25022.2,8362.25,5877.63,43717.5
0,1621.11,1621.11,6.01728,10313.9,25091.3,9694.46,6584.85,43774.2
0,1566.05,1566.05,1.90915,10375.9,25098.2,9773.37,6607.16,43779.2
0,3018.69,3018.69,7.45401,7744.07,25176.7,5826.03,3126.05,43744.3
0,3120,3120,1.90915,8555.1,25009.6,7263.53,4677.79,43681
0,1051.71,1051.71,11.2042,20953,27114.5,21567.2,8132.21,46154.1
0,2819.52,2730.66,3.37229,7454.32,25787.4,4620.88,2808.65,43959.7
0,2655.8,2655.8,2.26364,7395.59,25650.1,4666.9,2635.91,43910.5
0,1113.24,1113.24,4.72794,20105.5,27376.5,20682.6,8942.32,45844.4
0,2940.15,2940.15,3.37229,8159.34,24990.6,6663.11,4026.04,43632.6
0,3438.63,2939.69,0,7703.4,26102.1,4730.88,3323.64,44046
0,3030,3030,1.06752,8375.32,24928.9,7044.89,4452.25,43593
0,976.729,976.729,1.72101,20389.5,27210.1,20991.3,8615.02,45888.6
0,2988.73,2988.73,2.71992,8320.61,24901.9,6979.76,4385.54,43563.7
0,792.023,792.023,1.01275,10887,25032.8,10479.7,6740.93,43687.1
0,3300,2824.62,0,7600.66,26000.2,4634.88,3196.51,43968.2
0,2830.19,2830.19,5.42764,8002.13,24914.1,6470.9,3828.38,43547.4
0,1930.52,1930.52,27.7232,9756.28,24871.9,9057.02,6283.76,43564.8
0,823.772,823.772,1.35022,10822.8,24996.2,10412.6,6690.61,43652.6
0,2738.56,2580.17,2.26364,7328.91,25680.6,4470.4,2737.24,43824.6
0,2382.88,2382.88,1.81752,7297.47,25183.3,5004.34,2394.37,43651.2
0,2812.33,2812.33,3.64697,8076.69,24832.9,6649.52,4035.75,43479.9
0,2779.66,2779.66,1.81752,8959.36,24780.1,8004.32,5531.73,43473.4
0,2746.43,2746.43,24.2791,7700.19,24874.9,6007.87,3333.78,43477.3
0,2846.05,2846.05,2.71992,8188.41,24752.1,6883.35,4306.33,43413.7
0,1336.6,1336.6,5.57096,10161.1,24799.2,9633.32,6317.48,43479.6
0,3903.23,3234.02,3.37229,7851.18,26198,4870.17,3732.68,43962.5
0,2629.92,2460.18,0.337615,7210.55,25564.7,4350.41,2629.92,43705.2
0,2495.06,2474.77,2.90182,7159.45,25473.7,4360.33,2479.13,43671.8
0,2423.32,2423.32,2.71992,7135.27,25415.7,4383.39,2402.44,43651.2
0,2668.65,2668.65,2.05278,8826.99,24660,7888.12,5428.26,43352.7
0,1171.54,1171.54,1.06752,10246,24754.4,9767.29,6310.35,43430.3
0,785.175,785.175,1.6876,20825,26717.9,21763.1,7749.12,45929.6
0,2160,2160,1.81752,7060.78,25116.6,4596.37,2130.21,43513
0,2670,2670,2.02487,7456.67,24797.8,5658.64,2970.15,43375.3
0,2618.43,2618.43,16.8354,7798.67,24707.1,6304.64,3679.25,43338.3
0,2764.07,2764.07,0,8319.53,24644.3,7158,4629.15,43320.3
0,2707.49,2707.49,6.85322,8612.3,24631.8,7597.17,5114.63,43320.3
0,706.116,706.116,12.2601,20838.7,26744.3,21580.7,7902.02,45842.5
0,2678.58,2678.58,6.85322,8587.55,24601.8,7580.27,5102.21,43290.3
0,684.105,684.105,4.26269,20281.1,26926.9,20928.2,8501.44,45603.6
0,2076.08,2076.08,6.72137,9277.04,24584.4,8558.42,5964.5,43280.1
0,630,630,2.38594,20467,26829.7,21127.8,8295.04,45641.2
0,2363.15,2322.43,2.1343,7014.16,25335.8,4208.67,2351.7,43525.1
0,2075.43,2075.43,2.1343,6994.12,24971.1,4630.6,2066.52,43406.8
0,2077.81,2077.81,3.03572,6997.14,24965.6,4643.32,2071.52,43405.3
0,2541.52,2541.52,20.9576,7493.34,24669,5834.6,3172.77,43268.7
0,1357.65,1357.65,21.4392,9885.44,24603.8,9364.66,6090.07,43288.5
0,750,750,3.03572,10530.3,24684.8,10177.1,6367.5,43344.6
0,3669.95,3000,2.88218,7624.78,25978.3,4642.25,3500.24,43762.8
0,690.652,690.652,1.50953,10554.2,24661.6,10219.5,6362.33,43319.1
0,3186.5,2623.93,2.38594,7345.77,25738.5,4363.94,3042.01,43644.3
0,2414.95,2414.95,1.6876,7162.15,24713.6,5220.34,2520.71,43254.4
0,1578.92,1578.92,9.74803,9591.75,24520.6,9016.63,5954.38,43211.4
0,606.712,606.712,5.42764,20650,26546.4,21728.1,7677.71,45759.7
0,2490.18,2490.18,2.90182,7219.79,24644.5,5385.4,2694.83,43206.7
0,823.772,823.772,0.477454,10315.2,24573.4,9948.65,6207.9,43240.1
0,618.466,618.466,2.78189,20579.2,26463.6,21899.1,7500.24,45791.1
0,1950,1950,0.754894,6858.99,24887.3,4447.39,1925.85,43296.6
1,997.246,997.246,7.95231,10077.4,24515.3,9663.54,6081.42,43190.8
0,480.937,480.937,3.43891,20358.6,26707.5,21039.4,8297.05,45479.9
0,3672.89,2980.74,4.49515,7567.44,25905.3,4590,3443.08,43661.3
1,975.807,975.807,9.37478,10056.5,24485.5,9650.91,6052.87,43160.8
0,450,450,3.52041,10631.1,24566.6,10364.1,6336.18,43215.5
0,2808.01,2312.34,4.58231,7088.96,25488.4,4126.17,2690.82,43470.2
0,1892.14,1892.14,1.39176,6809.21,24805.5,4442.13,1879.49,43230.2
0,1982.95,1982.95,0.477454,6875.17,24714.3,4681.92,2016.93,43190.4
0,2108.77,2108.77,4.82254,8980.98,24368.1,8272.44,5739.49,43064.3
0,540.833,540.833,2.71992,19887.6,26812.4,20556.9,8728.4,45273.1
0,2471.32,2130.63,1.01275,6921.23,25305.9,4009.01,2429.81,43380.3
0,2160.21,2160.21,1.96786,8899.94,24336,8179.22,5705.05,43032.1
1,954.83,954.83,8.64667,9993.24,24423.1,9598.59,5986.56,43099.1
0,2340,2340,2.43314,7144.1,24470.1,5412.73,2743.16,43045.7
0,2001.25,2001.25,0.954841,8994.25,24310.7,8322.5,5685.53,43006.7
0,2310,2310,3.58425,7125.68,24436.8,5411.4,2746.43,43014.3
0,530.754,530.754,2.26364,10371.6,24419.7,10096.3,6129.4,43077.5
0,30,30,2.26364,10944.7,24514,10791.1,6460.04,43139.4
0,2788.71,2254,1.06752,7010.83,25409.5,4038.87,2654.45,43365.3
0,2731.48,2214.72,2.63503,6983.24,25382.6,4016.42,2604.65,43354.6
0,2392.86,2392.86,4.05866,8087.55,24249,7080.83,4629.44,42930
0,2363.15,2363.15,15.1797,8240.83,24243.1,7307.69,4880.7,42930
0,1425.24,1425.24,8.69766,9419.04,24281,8908.99,5718.76,42971.6
0,648.999,648.999,4.53271,19396.1,26869.7,20062.7,9146.9,45013.3
0,7743.72,516.14,3.38907,25976,29687.6,16530.1,11374.4,56241.3
0,7650,810.555,1.96786,25639.9,29345.6,16321.4,11120.5,55918
0,7683.75,990.454,2.69895,25437.7,29122.4,16113.4,11020.5,55737.2
0,7267.5,1315.9,4.53271,25173.1,28925.2,16305.9,10615,55425.6
0,5084.98,3254,4.58231,24252.7,28384.1,17734.2,8789.54,54172.3
0,6435.75,2047.93,1.21712,24712.5,28604.7,16762.1,9843.16,54857.1
0,6113.89,2377.77,0.477454,24497.9,28442.9,16918.1,9519.27,54600
0,6928.7,1781.91,3.01696,24747.9,28544.3,16309.3,10151.2,54975.1
0,5027.57,3443.08,0.754894,23940.3,28072.7,17587.9,8532.93,53870.9
0,5630.18,2925.88,2.26364,24106.4,28129.8,17119.4,8980.43,54145
0,4419.38,4062.54,0.754894,23637,27875.6,17984.7,7985.69,53458.9
0,5252.83,3300.68,1.6876,23904.7,27994,17353.7,8628.53,53882.9
0,5786.97,2824.62,1.06752,24108.5,28102,16971.4,9069.73,54176.7
0,7278.63,1739.48,0.477454,24700.8,28424.8,15934.6,10329.8,54987.8
0,7755.62,1434.05,5.47927,24915,28553.1,15626.2,10750.6,55261.3
0,5380.8,3220.64,1.06752,23893.5,27958.3,17226,8690.68,53897.5
0,4742.09,3841.05,1.81752,23599,27777.9,17662.4,8125.07,53491.4
0,4977.65,3623.05,1.06752,23684,27820.3,17487.1,8316.01,53620.1
0,5184.1,3434.71,1.72101,23760.1,27859.1,17334.9,8485.12,53733.3
0,8004.21,1336.6,5.95158,24945,28533.8,15405.1,10921.5,55325.5
0,6402.38,2424.25,0.754894,24210.1,28087.7,16447.5,9492.76,54382.9
0,7862.58,1484.92,12.9095,24822.6,28434,15453.1,10760.6,55190.1
0,4154.86,4154.86,1.72101,23272.8,27557.3,18050.6,7559.35,53055.3
0,5736.91,3028.66,4.04469,23852.4,27848.5,16864.6,8861.59,53926.7
0,4286.22,4286.22,1.50953,23255.8,27516.5,17920.8,7613.68,53067.8
0,6840.66,2239.58,1.81752,24249.7,28042.2,16051.5,9779.08,54493.8
0,7704.8,1718.4,1.06752,24606.9,28240,15453.3,10532.1,54963.9
0,3937.32,3937.32,1.06752,23043.6,27369.3,18157.4,7256.34,52785.8
0,6601.36,2528.73,2.45639,23999.5,27831.2,16126.6,9470.22,54218
0,7965.16,1668.17,19.7487,24584.4,28163.1,15183.9,10680.9,54979.7
0,4689.61,4147.06,0.754894,23181.2,27367.9,17511.8,7770.52,53081.7
0,4563.65,4307.69,0,23072.9,27283.7,17584.9,7614.15,52950.7
0,4449.82,4449.82,1.39176,22937,27170.5,17639.7,7440.06,52794.6
0,8178.73,1745.42,0.754894,24483.9,28013.9,14907.4,10755.7,54913.1
0,6963.23,2718.11,0.754894,23708.5,27461,15615,9498.97,53999.1
0,4700.34,4461.54,0.754894,22745.8,26933.7,17327.7,7430.44,52662.9
0,4933.52,4260.11,2.26364,22831.1,26975.1,17145.2,7630.27,52792.4
0,6535.87,3012.72,0.477454,23488.3,27322.2,15910.1,9083.71,53719.8
0,5997.15,3415.39,1.81752,23226.3,27164,16299.7,8566.77,53376.1
0,7530.96,2381.93,10.1011,23909.4,27552,15179.9,9988.38,54276
0,5217.07,4092,0.954841,22846.1,26935.7,16882.2,7810.38,52863.5
0,4205.57,4205.57,0.337615,22448.7,26729.5,17668,6919.15,52272.8
0,5369.92,3991.8,2.38594,22874.5,26934.8,16749.6,7923.29,52920.3
0,4365.7,4365.7,0.754894,22442.4,26693,17513.6,7006.98,52301.9
0,6528.71,3192.01,3.76924,23299.8,27133.2,15827.1,8948.75,53537.3
0,7805.77,2214.72,3.9311,24014.6,27551,14726.5,10396.2,54449.4
0,4083.75,4083.75,0.477454,22286,26588.8,17710.7,6727.29,52091.5
0,7438.37,2638.98,4.49515,23654.1,27309.3,15129.3,9765.68,54017.9
0,5260.62,4202.68,1.06752,22679.1,26758.9,16764.4,7717.88,52712.7
0,7711.46,2366.77,1.06752,23864.2,27421.7,14759.8,10223.1,54288.9
0,6707.73,3200.03,2.63503,23255.1,27052.4,15635.9,9031.2,53523.1
0,5711.83,3904.15,1.06752,22796.2,26788.6,16385.7,8080.7,52910.1
0,4351.24,4351.24,1.81752,22224.5,26476.3,17429.4,6839.47,52092.4
0,7562.92,2468.95,1.72101,23760.7,27295.2,14608.6,10222.7,54202.1
0,7575.22,2351.7,5.73026,23890.7,27374.5,14427.5,10474.3,54360.3
0,6584.85,3428.54,4.07259,23042.5,26863.7,15662.3,8804.48,53297.5
0,6613.15,3411.04,5.80822,23055.3,26870.8,15640.5,8831.68,53314.5
0,5571.69,4137.93,1.6876,22587.8,26605.3,16422.7,7851.18,52685.6
0,4846,4728.31,1.96786,22279.7,26436.2,16979.5,7182.48,52249.9
0,5636.49,4115.58,3.10963,22583.5,26587.9,16357.7,7890.23,52693.8
0,6013.48,3956.82,0.477454,22616.8,26545.8,16007.3,8158.07,52794.3
0,4543.89,4543.89,1.01275,22022.5,26233.3,17144.7,6822.21,51945.2
0,7088.38,3013.17,3.64697,23240.5,26867.9,14828,9565.48,53633.3
0,5622.5,4306.75,1.35022,22366.8,26370.2,16267.2,7741.28,52485.7
0,6625.93,3459.38,3.76924,22902.3,26645.7,15238.2,8958.5,53221.5
0,5638.48,4393.64,2.78189,22256.4,26252.6,16190.3,7688.55,52385.9
0,7152.34,2763.42,2.63503,23495,26955.8,14157.6,10274.6,53985.6
0,3202.14,3202.14,2.38594,21368.4,25834.4,18157.8,5532.05,51019.1
0,5978.36,4116.02,1.96786,22392.6,26279.4,15719.9,8142.39,52613.4
0,4607.61,4607.61,1.6876,21685.5,25878.1,16926,6644.17,51642.5
0,6072.76,4025.48,1.06752,22410.3,26231.1,15414.7,8373.01,52684.2
0,6893.61,2891.54,1.06752,23335.1,26744.3,13858.1,10333.5,53857.1
0,3623.55,3623.55,3.01696,21222,25608.2,17708.2,5676.35,50978.5
1,5268.05,4838.28,2.45639,21851.6,25893.4,16258.3,7262.29,51953.3
1,5244.17,4860.09,2.1343,21823.9,25864,16239.7,7249.83,51928.3
0,5978.36,4115.58,2.5695,22301.9,26114.5,15336,8329.04,52585.5
0,6810,3246.8,4.43182,22987.5,26507.9,14234.2,9743.35,53453.8
0,1127.3,1127.3,5.47927,20194.1,25885.4,24236.2,5416.81,46662.7
0,3870.93,3870.93,0.675206,21241.6,25579.7,17476.7,5850,51055.1
0,3244.72,3244.72,0.337615,21006.9,25470,18005.6,5275.23,50680.9
0,4802.34,4802.34,1.21712,21543.3,25696,16680.1,6681.59,51548
0,5519.76,4573.01,1.50953,21971.1,25908.3,15803.6,7693.87,52162.9
0,4859.35,4859.35,0,21537.3,25676.8,16614.1,6722.48,51555.7
0,1207.48,1207.48,3.05437,20387.3,25227.1,19552.4,3600,49501.7
0,1994.49,1994.49,1.50953,20584,25282.4,19028.1,4180.35,49935.1
0,3263.53,3263.53,0.477454,20949.7,25410.3,17972.5,5242.02,50629.8
0,5919.21,4163.2,3.01696,22205.8,25990.2,15169.9,8360.75,52513.7
0,1961.73,1961.73,3.84367,20511.3,25217.9,19015,4095.52,49853
1,818.841,818.841,4.72794,20072.1,25803,23791.9,5682.13,46338.4
0,6570.07,3270,0,22807,26295.7,14023.2,9729.67,53295.3
0,488.365,488.365,0.954841,10331.9,24360.1,10073.1,6074.24,43017.7
0,658.635,658.635,5.06231,19329.4,26863.5,19998,9195.33,44966.8
0,364.966,364.966,1.06752,20366.5,26261.8,21766.8,7493.34,45534.8
0,2556.34,2078.68,2.90182,6865.28,25263.7,3912.56,2444.77,43270.6
0,2185.06,2185.06,8.11128,7158.69,24311,5581.05,2954.2,42909
0,2319.53,2319.53,3.9311,7971.2,24192.6,6947.64,4495.7,42870.1
0,3139.55,2479.86,2.05278,7137.86,25510.6,4151.94,2969.85,43352.4
0,2119.83,1920,3.52041,6668.17,25027.7,3810,2107.91,43161.9
0,1253.2,1253.2,2.90182,9461.09,24200.3,9005.65,5661.98,42888.5
0,700.357,700.357,1.72101,10001.3,24260.2,9690.42,5874.56,42930.8
0,1654.36,1654.36,4.10029,6573.22,24564.1,4239.67,1647.54,42988.9
0,108.167,108.167,2.16079,10598.3,24295.1,10446.3,6159.07,42933.7
0,300,300,1.06752,20155,26022.4,22159.6,7058.42,45563.8
0,1360.29,1360.29,9.87647,9248.96,24097.8,8777.29,5530.59,42789.2
0,2842.57,2217.77,3.1996,6913.94,25301.5,3929.2,2675.89,43194.2
0,1730.92,1730.92,1.06752,6577.74,24363.9,4485.38,1790.47,42849.6
0,823.772,823.772,0.337615,18312.3,26859.7,18962.5,10128.5,44500.9
0,182.483,182.483,5.87557,20198.6,26099.5,21705.9,7458.61,45355.1
0,3339.72,3339.72,0,7847.51,25984.6,4988.76,2779.5,43472.4
0,3166.53,2469.86,1.72101,7073.7,25427.5,4092,2960.44,43228.4
0,1988.17,1988.17,3.47174,6930.26,24111.7,5372.01,2763.42,42703.2
0,2078.68,2078.68,15.5433,7445.86,24013.2,6284.41,3805.39,42666.6
0,722.496,722.496,16.1846,9724.91,24061.8,9426.92,5635.21,42737.9
0,617.738,617.738,1.39176,11167.2,24294.9,11166.5,6473.89,42890.4
0,1905.89,1710.26,1.01275,6451.05,24809.3,3600.5,1892.14,42947.1
0,1980,1980,1.6876,6804.98,24112.6,5155.2,2521.61,42686.2
0,1168.46,1168.46,14.8546,9270.19,23986.9,8863.97,5443.9,42676
0,558.032,558.032,2.45639,18982.2,26712.6,19682,9380.22,44629
0,1950,1950,10.6222,8175.7,23910.1,7424.62,5089.22,42601.8
0,3470.29,2723.56,3.72387,7180.6,25477.6,4227.02,3045.55,43179
0,2545.58,1955.76,1.6876,6679.7,25075.4,3701.08,2385.33,43011.6
0,1421.44,1421.44,0.477454,6301.79,24431.1,3810.47,1395.89,42779.1
0,1798,1798,5.26966,6535.87,24145.4,4640.22,1951.61,42667.3
0,1434.05,1434.05,1.50953,8952.07,23905.8,8483.85,5312.12,42599.7
0,234.307,234.307,2.02487,10117.5,24032.2,9950.96,5772.56,42688.6
0,684.105,684.105,1.6876,18230.5,26712.1,18904.4,10121.4,44348.5
0,3013.47,3013.47,4.39338,8289.18,26218.6,5566.19,2564.25,43496.6
0,2566.89,1958.98,2.05278,6671.68,25065.2,3690.49,2401.69,42989.2
0,1854.43,1854.43,16.7387,7138.55,23922.4,5874.03,3372.03,42556.1
0,60,60,7.26463,20113.2,26041.7,21320.9,7742.09,45066.1
0,721.249,721.249,2.5695,9535.14,23902.2,9258.88,5455.14,42581.1
0,589.406,589.406,3.37229,18490.3,26786.5,19188.2,9815.69,44375.3
